Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
66,695,species,Barrow's Goldeneye,Bucephala islandica,3,Lake Merritt,US-CA,13 Nov 2017,L268122,S40491780,,1
68,700,species,Hooded Merganser,Lophodytes cucullatus,2,Mountain View Cemetery--south (ALA Co.),US-CA,31 Jan 2016,L1398193,S27228421,,1
69,708,species,Common Merganser,Mergus merganser,4,Henry Cowell Redwoods SP--River Trail,US-CA,26 Feb 2016,L2745685,S27838200,,1
70,716,species,Red-breasted Merganser,Mergus serrator,1,Ocean Shores--Pt. Brown Jetty,US-WA,23 Dec 2016,L168688,S33166702,,1
72,724,species,Ruddy Duck,Oxyura jamaicensis,1,Indian Creek Reservoir,US-CA,12 Sep 2015,L272916,S25018632,,1
74,799,species,Plain Chachalaca,Ortalis vetula,4,Laguna Atascosa NWR (LTC 024),US-TX,13 Nov 2016,L129005,S32652929,,1
75,952,species,Mountain Quail,Oreortyx pictus,20,Uphill from Rancheria Falls Trailhead,US-CA,18 Jul 2018,L7733478,S47319881,,1
76,965,species,Northern Bobwhite,Colinus virginianus,8,Laguna Atascosa NWR (LTC 024),US-TX,13 Nov 2016,L129005,S32652929,,1
77,1031,species,California Quail,Callipepla californica,8,Indian Creek Reservoir,US-CA,12 Sep 2015,L272916,S25018632,,1
78,1042,species,Gambel's Quail,Callipepla gambelii,6,Joshua Tree NP--Black Rock Campground,US-CA,25 Mar 2019,L863722,S54295540,,1
79,1207,species,Wild Turkey,Meleagris gallopavo,2,Ramsey Canyon Preserve (formerly Mile Hi Ranch),US-AZ,06 May 2017,L129062,S36657646,,1
80,1245,species,Greater Sage-Grouse,Centrocercus urophasianus,2,Bodie Rd.,US-CA,19 Aug 2016,L773633,S31172763,,1
81,1248,species,Dusky Grouse,Dendragapus obscurus,2,Rattlesnake Creek Trail,US-ID,24 Jul 2021,L15969056,S92609636,,1
82,1253,species,Sooty Grouse,Dendragapus fuliginosus,2,Sequoia NP--Mineral King Valley,US-CA,10 Jun 2016,L499561,S30202750,,1
