"ML Catalog Number",Format,"Scientific Name","Common Name","Background Species",Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,"Elevation (m)",Age/Sex,Behaviors,Playback,Collected,"Specimen ID","Home Archive Catalog Number",Recorder,Microphone,Accessory,"Partner Institution","eBird Checklist ID",Unconfirmed?,"Air Temp(ºC)","Water Temp(ºC)","Media notes","Observation Details",Class,Order,Family,"Parent Species","eBird Species Code","Taxon Category","Taxonomic Sort","Recordist 2 Display Name","Recordist 2 Profile URL","Average Community Rating","Number of Ratings","Asset State","Asset Tags","Contributor Profile URL","Original Image Height","Original Image Width","Specimen Page URL","eBird Checklist URL","ebird Species URL",isInternalUser,mediaDownloadUrl,report_as
116883141,Photo,"Ardea alba","Great Egret",,"Jack Hayden",9/30/2018,2018,9,30,920,"United States",US-CA-013,California,"Contra Costa","West County Wastewater District--Landfill Loop Trail",37.9618,-122.3875,,Unknown,,Unspecified,,,,,,,,S48844759,,,,,,,,,"Ardea alba",greegr,Species,7124.0,,,1.0,1,committed,,,,,"https://macaulaylibrary.org/asset/116883141","https://ebird.org/view/checklist/S48844759","https://ebird.org/species/greegr",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",greegr
269156901,Photo,"Accipiter striatus/cooperii","Sharp-shinned/Cooper's Hawk",,"Jack Hayden",9/18/2020,2020,9,18,1209,"United States",US-CA-075,California,"San Francisco","Ferry / Sue Bierman Parks",37.7959,-122.3965,,,,Unspecified,,,,,,,,S73751142,,,,,,,,,"Accipiter striatus/cooperii",y00612,Slash,7830.0,,,1.5,2,committed,,,,,"https://macaulaylibrary.org/asset/269156901","https://ebird.org/view/checklist/S73751142",,false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",y00612
269156891,Photo,"Accipiter striatus/cooperii","Sharp-shinned/Cooper's Hawk",,"Jack Hayden",9/18/2020,2020,9,18,1209,"United States",US-CA-075,California,"San Francisco","Ferry / Sue Bierman Parks",37.7959,-122.3965,,,,Unspecified,,,,,,,,S73751142,,,,,,,,,"Accipiter striatus/cooperii",y00612,Slash,7830.0,,,1.5,2,committed,,,,,"https://macaulaylibrary.org/asset/269156891","https://ebird.org/view/checklist/S73751142",,false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",y00612
222316631,Photo,"Accipiter striatus","Sharp-shinned Hawk",,"Jack Hayden",4/9/2020,2020,4,9,1613,"United States",US-CA-013,California,"Contra Costa","Hillside Natural Area",37.9213,-122.2992,,,,Unspecified,,,,,,,,S66884586,,,,,,,,,"Accipiter striatus",shshaw,Species,7816.0,,,1.0,2,committed,,,,,"https://macaulaylibrary.org/asset/222316631","https://ebird.org/view/checklist/S66884586","https://ebird.org/species/shshaw",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",shshaw
31172091,Photo,"Elanus leucurus","White-tailed Kite",,"Jack Hayden",7/2/2016,2016,7,2,1500,"United States",US-CA-113,California,Yolo,Hoggsville,38.5732,-121.8482,,Unknown,,Unspecified,,,,,,,,S30532247,,,,,"probably 4 birds",,,,"Elanus leucurus",whtkit,Species,7367.0,,,1.0,5,committed,non_bird,,163,243,"https://macaulaylibrary.org/asset/31172091","https://ebird.org/view/checklist/S30532247","https://ebird.org/species/whtkit",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",whtkit
291619991,Photo,"Tyto alba [furcata Group]","Barn Owl (American)",,"Jack Hayden",12/27/2020,2020,12,27,1513,"United States",US-CA-013,California,"Contra Costa","San Francisco Bay Trail--S 51st St.",37.9096,-122.3275,,,,Unspecified,,,,,,,,S78100146,,,,,,,,,"Tyto alba",barowl8,Group,8130.0,,,0.0,0,committed,,,,,"https://macaulaylibrary.org/asset/291619991","https://ebird.org/view/checklist/S78100146","https://ebird.org/species/brnowl",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",brnowl
290420561,Photo,"Larus glaucoides thayeri","Iceland Gull (Thayer's)",,"Jack Hayden",12/19/2020,2020,12,19,921,"United States",US-CA-013,California,"Contra Costa","West County Wastewater District--Landfill Loop Trail",37.9618,-122.3875,,,,Unspecified,,,,,,,,S77805583,,,,,,,,,"Larus glaucoides",thagul,Group,6294.0,,,0.0,0,committed,,,,,"https://macaulaylibrary.org/asset/290420561","https://ebird.org/view/checklist/S77805583","https://ebird.org/species/y00478",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",y00478
288155221,Photo,"Larus occidentalis","Western Gull",,"Jack Hayden",12/13/2020,2020,12,13,1557,"United States",US-CA-001,California,Alameda,"Cesar Chavez Park",37.8709,-122.315,,,,Unspecified,,,,,,,,S77458969,,,,,,,,,"Larus occidentalis",wesgul,Species,6267.0,,,0.0,0,committed,,,,,"https://macaulaylibrary.org/asset/288155221","https://ebird.org/view/checklist/S77458969","https://ebird.org/species/wesgul",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",wesgul
288154551,Photo,"Recurvirostra americana","American Avocet",,"Jack Hayden",12/14/2020,2020,12,14,1538,"United States",US-CA-001,California,Alameda,"Cesar Chavez Park",37.8709,-122.315,,,,Unspecified,,,,,,,,S77499388,,,,,,,,,"Recurvirostra americana",ameavo,Species,5587.0,,,0.0,0,committed,,,,,"https://macaulaylibrary.org/asset/288154551","https://ebird.org/view/checklist/S77499388","https://ebird.org/species/ameavo",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",ameavo
288154511,Photo,"Haematopus bachmani","Black Oystercatcher",,"Jack Hayden",12/14/2020,2020,12,14,1538,"United States",US-CA-001,California,Alameda,"Cesar Chavez Park",37.8709,-122.315,,,,Unspecified,,,,,,,,S77499388,,,,,,,,,"Haematopus bachmani",blkoys,Species,5611.0,,,0.0,0,committed,,,,,"https://macaulaylibrary.org/asset/288154511","https://ebird.org/view/checklist/S77499388","https://ebird.org/species/blkoys",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",blkoys
287524431,Photo,"Mareca penelope x americana","Eurasian x American Wigeon (hybrid)",,"Jack Hayden",12/9/2020,2020,12,9,902,"United States",US-CA-001,California,Alameda,"McLaughlin Eastshore SP--Albany access",37.8903,-122.3148,,,,Unspecified,,,,,,,,S77271622,X,,,,"A predominantly American Wigeon with some Eurasian Wigeon influence mainly noticeable in the head. Note the slight cinnamon and blonde tone to rear of the face and head. Not the same hybrid reported recently.",,,,"Mareca penelope x americana",x00421,Hybrid,449.0,,,0.0,0,committed,,,,,"https://macaulaylibrary.org/asset/287524431","https://ebird.org/view/checklist/S77271622",,false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",x00421
287493361,Photo,"Melospiza melodia","Song Sparrow",,"Jack Hayden",12/12/2020,2020,12,12,1030,"United States",US-CA-001,California,Alameda,"McLaughlin Eastshore SP--Albany access",37.8903,-122.3148,,,,Unspecified,,,,,,,,S77398488,,,,,,,,,"Melospiza melodia",sonspa,Species,32018.0,,,0.0,0,committed,,,,,"https://macaulaylibrary.org/asset/287493361","https://ebird.org/view/checklist/S77398488","https://ebird.org/species/sonspa",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",sonspa
287493341,Photo,"Melozone crissalis","California Towhee",,"Jack Hayden",12/12/2020,2020,12,12,1030,"United States",US-CA-001,California,Alameda,"McLaughlin Eastshore SP--Albany access",37.8903,-122.3148,,,,Unspecified,,,,,,,,S77398488,,,,,,,,,"Melozone crissalis",caltow,Species,32090.0,,,0.0,0,committed,,,,,"https://macaulaylibrary.org/asset/287493341","https://ebird.org/view/checklist/S77398488","https://ebird.org/species/caltow",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",caltow
287491911,Photo,"Aythya marila","Greater Scaup",,"Jack Hayden",12/12/2020,2020,12,12,1030,"United States",US-CA-001,California,Alameda,"McLaughlin Eastshore SP--Albany access",37.8903,-122.3148,,,,Unspecified,,,,,,,,S77398488,,,,,,,,,"Aythya marila",gresca,Species,596.0,,,0.0,0,committed,,,,,"https://macaulaylibrary.org/asset/287491911","https://ebird.org/view/checklist/S77398488","https://ebird.org/species/gresca",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",gresca
287491861,Photo,"Bucephala clangula","Common Goldeneye",,"Jack Hayden",12/12/2020,2020,12,12,1030,"United States",US-CA-001,California,Alameda,"McLaughlin Eastshore SP--Albany access",37.8903,-122.3148,,,,Unspecified,,,,,,,,S77398488,,,,,,,,,"Bucephala clangula",comgol,Species,642.0,,,0.0,0,committed,,,,,"https://macaulaylibrary.org/asset/287491861","https://ebird.org/view/checklist/S77398488","https://ebird.org/species/comgol",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",comgol
287491801,Photo,"Bucephala clangula","Common Goldeneye",,"Jack Hayden",12/12/2020,2020,12,12,1030,"United States",US-CA-001,California,Alameda,"McLaughlin Eastshore SP--Albany access",37.8903,-122.3148,,,,Unspecified,,,,,,,,S77398488,,,,,,,,,"Bucephala clangula",comgol,Species,642.0,,,0.0,0,committed,,,,,"https://macaulaylibrary.org/asset/287491801","https://ebird.org/view/checklist/S77398488","https://ebird.org/species/comgol",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",comgol
287491411,Photo,"Passerella iliaca [schistacea Group]","Fox Sparrow (Slate-colored)",,"Jack Hayden",12/12/2020,2020,12,12,1030,"United States",US-CA-001,California,Alameda,"McLaughlin Eastshore SP--Albany access",37.8903,-122.3148,,,,Unspecified,,,,,,,,S77398488,X,,,,"Light grey crown and nape, and grey and brown back. Warm rusty-brown tones to the wings and flecking on the breast. Bright rusty-red rump and edges to rectrices. Seen from the trail on the bulb ""neck"" here 37.889703, -122.321924 (google maps)",,,,"Passerella iliaca",foxsp3,Group,31858.0,,,0.0,0,committed,,,,,"https://macaulaylibrary.org/asset/287491411","https://ebird.org/view/checklist/S77398488","https://ebird.org/species/foxspa",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",foxspa
287491401,Photo,"Passerella iliaca [schistacea Group]","Fox Sparrow (Slate-colored)",,"Jack Hayden",12/12/2020,2020,12,12,1030,"United States",US-CA-001,California,Alameda,"McLaughlin Eastshore SP--Albany access",37.8903,-122.3148,,,,Unspecified,,,,,,,,S77398488,X,,,,"Light grey crown and nape, and grey and brown back. Warm rusty-brown tones to the wings and flecking on the breast. Bright rusty-red rump and edges to rectrices. Seen from the trail on the bulb ""neck"" here 37.889703, -122.321924 (google maps)",,,,"Passerella iliaca",foxsp3,Group,31858.0,,,0.0,0,committed,,,,,"https://macaulaylibrary.org/asset/287491401","https://ebird.org/view/checklist/S77398488","https://ebird.org/species/foxspa",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",foxspa
