"ML Catalog Number",Format,"Scientific Name","Common Name","Background Species",Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,"Elevation (m)",Age/Sex,Behaviors,Playback,Collected,"Specimen ID","Home Archive Catalog Number",Recorder,Microphone,Accessory,"Partner Institution","eBird Checklist ID",Unconfirmed?,"Air Temp(ºC)","Water Temp(ºC)","Media notes","Observation Details",Class,Order,Family,"Parent Species","eBird Species Code","Taxon Category","Taxonomic Sort","Recordist 2 Display Name","Recordist 2 Profile URL","Average Community Rating","Number of Ratings","Asset State","Asset Tags","Contributor Profile URL","Original Image Height","Original Image Width","Specimen Page URL","eBird Checklist URL","ebird Species URL",isInternalUser,mediaDownloadUrl,report_as
132115891,Photo,"Larus marinus","Great Black-backed Gull",,"Aaron Maizlish",11/13/2018,2018,11,13,1008,"United States",US-NJ-029,"New Jersey",Ocean,"Barnegat Inlet",39.7628,-74.1015,,Unknown,,Unspecified,,,,,,,,S49911224,,,,,,,,,"Larus marinus",gbbgul,Species,6330.0,,,4.0,2,committed,,"https://ebird.org/profile/MjMwNjE0",2800,4200,"https://macaulaylibrary.org/asset/132115891","https://ebird.org/view/checklist/S49911224","https://ebird.org/species/gbbgul",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",gbbgul
131613191,Photo,"Motacilla citreola","Citrine Wagtail",,"Aaron Maizlish",12/1/2015,2015,12,1,830,India,IN-UP-GB,"Uttar Pradesh","Gautam Buddha Nagar","Okhla Bird Sanctuary",28.5669,77.3064,,Unknown,,Unspecified,,,,,,,,S26084349,,,,,,,,,"Motacilla citreola",citwag,Species,30497.0,,,4.0,2,committed,,"https://ebird.org/profile/MjMwNjE0",1601,2400,"https://macaulaylibrary.org/asset/131613191","https://ebird.org/view/checklist/S26084349","https://ebird.org/species/citwag",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",citwag
131560591,Photo,"Anous minutus","Black Noddy",,"Aaron Maizlish",11/3/2013,2013,11,3,1100,"French Polynesia",PF-TG,Tuamotu-Gambier,,"Rangiroa - Sables Roses",-15.3177,-147.3205,,Unknown,,Unspecified,,,,,,,,S15580006,,,,,"Freely mixing with Brown Noddys.  Numerous at lunch spot.",,,,"Anous minutus",blknod,Species,6348.0,,,4.0,2,committed,,"https://ebird.org/profile/MjMwNjE0",1066,1600,"https://macaulaylibrary.org/asset/131560591","https://ebird.org/view/checklist/S15580006","https://ebird.org/species/blknod",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",blknod
131560581,Photo,"Anous stolidus","Brown Noddy",,"Aaron Maizlish",11/3/2013,2013,11,3,1100,"French Polynesia",PF-TG,Tuamotu-Gambier,,"Rangiroa - Sables Roses",-15.3177,-147.3205,,Unknown,,Unspecified,,,,,,,,S15580006,,,,,"About 30 at lunch island, 200 at bird nesting site with RF Booby.  More on the lagoon in feeding flocks of 30-100.  Probably saw 1000 over course of trip.    Fledgings at lunch spot.",,,,"Anous stolidus",brnnod,Species,6342.0,,,4.0,2,committed,,"https://ebird.org/profile/MjMwNjE0",1066,1600,"https://macaulaylibrary.org/asset/131560581","https://ebird.org/view/checklist/S15580006","https://ebird.org/species/brnnod",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",brnnod
122661121,Photo,"Galerida cristata","Crested Lark",,"Aaron Maizlish",12/7/2015,2015,12,7,900,India,IN-UP-MP,"Uttar Pradesh",Mainpuri,"Sarus Crane Wetlands Saifai near  Kirthua",27.0025,78.9968,,Unknown,,Unspecified,,,,,,,,S26190128,,,,,,,,,"Galerida cristata",crelar2,Species,21828.0,,,4.0,2,committed,,"https://ebird.org/profile/MjMwNjE0",1920,2880,"https://macaulaylibrary.org/asset/122661121","https://ebird.org/view/checklist/S26190128","https://ebird.org/species/crelar2",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",crelar2
120663571,Photo,"Sporophila funerea","Thick-billed Seed-Finch",,"Aaron Maizlish",4/11/2018,2018,4,11,710,Panama,PA-8,Panamá,,"Cerro Jefe",9.2384,-79.4047,,Unknown,,Unspecified,,,,,,,,S44479521,,,,,,,,,"Sporophila funerea",tbsfin1,Species,33146.0,,,4.0,2,committed,,"https://ebird.org/profile/MjMwNjE0",1601,2401,"https://macaulaylibrary.org/asset/120663571","https://ebird.org/view/checklist/S44479521","https://ebird.org/species/tbsfin1",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",tbsfin1
120656921,Photo,"Leptotila verreauxi","White-tipped Dove",,"Aaron Maizlish",4/13/2018,2018,4,13,640,Panama,PA-3,Colón,,"Gamboa (town)",9.1162,-79.7019,,Unknown,,Unspecified,,,,,,,,S44540081,,,,,,,,,"Leptotila verreauxi",whtdov,Species,2238.0,,,4.0,2,committed,,"https://ebird.org/profile/MjMwNjE0",1400,2100,"https://macaulaylibrary.org/asset/120656921","https://ebird.org/view/checklist/S44540081","https://ebird.org/species/whtdov",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",whtdov
120651451,Photo,"Ramphastos sulfuratus","Keel-billed Toucan",,"Aaron Maizlish",4/12/2018,2018,4,12,600,Panama,PA-3,Colón,,"Panama Rainforest Discovery Center",9.1311,-79.7259,,Unknown,,Unspecified,,,,,,,,S44511746,,,,,,,,,"Ramphastos sulfuratus",kebtou1,Species,10370.0,,,4.0,2,committed,,"https://ebird.org/profile/MjMwNjE0",1200,1801,"https://macaulaylibrary.org/asset/120651451","https://ebird.org/view/checklist/S44511746","https://ebird.org/species/kebtou1",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",kebtou1
120110541,Photo,"Sula granti","Nazca Booby",,"Aaron Maizlish",7/15/2018,2018,7,15,820,"United States",US-CA-111,California,Ventura,"Anacapa Island--public access (VEN Co.)",34.0155,-119.3636,,Unknown,,Unspecified,,,,,,,,S47490275,,,,,"Perched on the arch and preening most of the time we watched it. Second-cycle individual with pale orangish bill; yellowish eyes; black mask; and white head, back, and underside. The lesser upperwing coverts were whitish, but the remainder of the wings were blackish. There was some white in the central tail feathers. The feet were dark.",,,,"Sula granti",nazboo1,Species,6917.0,,,4.0,2,committed,,"https://ebird.org/profile/MjMwNjE0",1200,1800,"https://macaulaylibrary.org/asset/120110541","https://ebird.org/view/checklist/S47490275","https://ebird.org/species/nazboo1",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",nazboo1
117116681,Photo,"Anthus cervinus","Red-throated Pipit",,"Aaron Maizlish",10/1/2018,2018,10,1,1530,"United States",US-CA-041,California,Marin,"Nunes Ridge - pasture above Nunes ""A"" Ranch",38.0037,-122.995,,Unknown,,Unspecified,,,,,,,,S48878545,,,,,"Found by D. Mosur earlier in the day - I refound it in the American Pipit flock inside a cow pen.  Identified by call and sight.  Note white braces on back - unique to Red-throated and Pechora.  Face pattern (well-defined supercilium extending behind eye, broad sub-malar patch) and bill (gray at tip, buff-yellow at base) favor Red-throated.",,,,"Anthus cervinus",retpip,Species,30655.0,,,4.0,2,committed,,"https://ebird.org/profile/MjMwNjE0",1067,1600,"https://macaulaylibrary.org/asset/117116681","https://ebird.org/view/checklist/S48878545","https://ebird.org/species/retpip",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",retpip
