Row #,Species,Count,Location,S/P,Date,LocID,SubID
225,Black-backed Woodpecker,1,Twin Lakes Trail,US-CA,23 Jul 2019,L7733434,S58430628
226,Downy Woodpecker,1,Heather Farm Park,US-CA,11 Jan 2019,L373922,S51558311
227,Nuttall's Woodpecker,1,Claremont Canyon Regional Preserve,US-CA,05 Jan 2019,L933409,S51347557
228,Ladder-backed Woodpecker,1,Joshua Tree NP--Cottonwood Campground,US-CA,24 Mar 2019,L2071413,S54260047
229,Hairy Woodpecker,2,Del Valle Regional Park,US-CA,24 Jan 2019,L274775,S52009828
230,White-headed Woodpecker,1,Angeles NF--Throop Peak/Dawson Saddle Trail,US-CA,30 May 2019,L746089,S56985213
231,Pileated Woodpecker,1,"29051 California 128, Yorkville, California, US (38.889, -123.173)",US-CA,31 Aug 2019,L9860675,S59404959
232,Northern Flicker,1,Claremont Canyon Regional Preserve,US-CA,05 Jan 2019,L933409,S51347557
233,Gilded Flicker,1,Mojave National Preserve--Cima Rd. at Powerline Rd.,US-CA,12 Jun 2019,L757917,S57322110
234,American Kestrel,1,Claremont Canyon Regional Preserve,US-CA,05 Jan 2019,L933409,S51347557
235,Merlin,1,Coyote Hills Regional Park,US-CA,08 Jan 2019,L216132,S51475224
236,Peregrine Falcon,1,Coyote Hills Regional Park,US-CA,08 Jan 2019,L216132,S51475224
237,Prairie Falcon,1,Los Vaqueros Reservoir--Walnut Trail,US-CA,12 Jan 2019,L1798091,S51613000
238,Red-masked Parakeet,6,Fort Mason Park,US-CA,10 Jan 2019,L389606,S51529289
239,Olive-sided Flycatcher,1,Mt. Diablo SP--Mitchell Canyon,US-CA,25 Apr 2019,L275399,S55402508
240,Greater Pewee,1,"stakeout Greater Pewee, Pacific Palisades (2017–20)",US-CA,28 Nov 2019,L6361490,S61830116
241,Western Wood-Pewee,1,Corona Heights Park,US-CA,15 May 2019,L598129,S56320072
242,Willow Flycatcher,1,Hansen Dam,US-CA,29 May 2019,L732299,S56871212
243,Hammond's Flycatcher,5,Mt. Diablo SP--Mitchell Canyon,US-CA,10 Apr 2019,L275399,S54806350
244,Gray Flycatcher,3,Lower Rush Creek riparian area,US-CA,14 Jun 2019,L879376,S57455684
245,Dusky Flycatcher,6,Angeles NF--Throop Peak/Dawson Saddle Trail,US-CA,30 May 2019,L746089,S56985213
246,Pacific-slope Flycatcher,3,Rattlesnake Canyon Trail,US-CA,29 Mar 2019,L1179529,S54352146
247,Cordilleran Flycatcher,1,Virginia Lakes Resort,US-CA,15 Jun 2019,L3799022,S57458055
248,Black Phoebe,1,Redwood Regional Park (CC Co.),US-CA,01 Jan 2019,L500405,S51180664
249,Eastern Phoebe,1,Irvine Lake,US-CA,27 Dec 2019,L468267,S62681232
250,Say's Phoebe,1,Coyote Hills Regional Park,US-CA,08 Jan 2019,L216132,S51475224
251,Vermilion Flycatcher,4,Big Morongo Canyon Preserve,US-CA,26 Mar 2019,L420195,S54295338
252,Ash-throated Flycatcher,1,Joshua Tree NP--Cottonwood Campground,US-CA,24 Mar 2019,L2071413,S54260047
253,Brown-crested Flycatcher,2,Big Morongo Canyon Preserve,US-CA,10 Jul 2019,L420195,S58083551
254,Tropical Kingbird,1,Heather Farm Park,US-CA,07 Mar 2019,L373922,S53574204
255,Cassin's Kingbird,4,Lake Los Carneros Park,US-CA,27 Mar 2019,L336013,S54288082
256,Thick-billed Kingbird,1,Poggi Creek greenbelt,US-CA,06 Nov 2019,L1096830,S61226858
257,Western Kingbird,2,Big Morongo Canyon Preserve,US-CA,26 Mar 2019,L420195,S54295338
258,Scissor-tailed Flycatcher,1,Poggi Creek greenbelt,US-CA,06 Nov 2019,L1096830,S61226858
